X,Y,Z,focal length,aim x,aim y,aim z
m,m,m,m,m,m,m
-239.680159,528.702968,0,583.7956894,0,0,62
281.708679,507.556526,0,583.7956894,0,0,62
-281.708679,507.556526,0,583.7956894,0,0,62
324.319213,427.888751,0,540.4773216,0,0,62
-324.319213,427.888751,0,540.4773216,0,0,62
328.410988,205.551021,0,392.3633511,0,0,62
-328.410988,205.551021,0,392.3633511,0,0,62
180.160853,181.555932,0,263.1814762,0,0,62
-180.160853,181.555932,0,263.1814762,0,0,62
335.248841,251.456607,0,423.6345248,0,0,62
-335.248841,251.456607,0,423.6345248,0,0,62
-340.605485,303.488608,0,460.3926928,0,0,62
340.605485,303.488608,0,460.3926928,0,0,62
288.602443,452.747573,0,540.4773214,0,0,62
-288.602443,452.747573,0,540.4773214,0,0,62
306.71278,440.680162,0,540.4773211,0,0,62
-306.71278,440.680162,0,540.4773211,0,0,62
321.331716,374.319702,0,497.2055018,0,0,62
-321.331716,374.319702,0,497.2055018,0,0,62
59.685608,10.728319,0,86.726401,0,0,62
-59.685608,10.728319,0,86.726401,0,0,62
220.290305,84.9261,0,244.0988753,0,0,62
-220.290305,84.9261,0,244.0988753,0,0,62
244.770057,258.21983,0,361.1562839,0,0,62
-244.770057,258.21983,0,361.1562839,0,0,62
89.489469,485.14013,0,497.2055016,0,0,62
-89.489469,485.14013,0,497.2055016,0,0,62
110.708358,30.316472,0,130.4585337,0,0,62
-110.708358,30.316472,0,130.4585337,0,0,62
59.421518,248.77615,0,263.1814766,0,0,62
-59.421518,248.77615,0,263.1814766,0,0,62
218.057798,537.981601,0,583.7956888,0,0,62
-218.057798,537.981601,0,583.7956888,0,0,62
105.302054,570.86328,0,583.7956895,0,0,62
-105.302054,570.86328,0,583.7956895,0,0,62
127.094746,332.320308,0,361.1562841,0,0,62
-127.094746,332.320308,0,361.1562841,0,0,62
196.077187,546.376376,0,583.7956899,0,0,62
-196.077187,546.376376,0,583.7956899,0,0,62
82.08155,574.661662,0,583.7956891,0,0,62
-82.08155,574.661662,0,583.7956891,0,0,62
214.264145,284.043549,0,361.1562841,0,0,62
-214.264145,284.043549,0,361.1562841,0,0,62
58.726192,577.515923,0,583.7956894,0,0,62
-58.726192,577.515923,0,583.7956894,0,0,62
-35.274353,579.421373,0,583.7956898,0,0,62
35.274353,579.421373,0,583.7956898,0,0,62
-11.76456,580.374881,0,583.7956897,0,0,62
11.76456,580.374881,0,583.7956897,0,0,62
173.774436,553.873498,0,583.7956889,0,0,62
-173.774436,553.873498,0,583.7956889,0,0,62
286.048247,162.15693,0,334.6079341,0,0,62
-286.048247,162.15693,0,334.6079341,0,0,62
323.021491,322.140572,0,460.392693,0,0,62
-323.021491,322.140572,0,460.392693,0,0,62
268.191159,138.479329,0,308.134747,0,0,62
-268.191159,138.479329,0,308.134747,0,0,62
270.017956,464.071156,0,540.4773209,0,0,62
-270.017956,464.071156,0,540.4773209,0,0,62
320.595827,269.889841,0,423.6345248,0,0,62
-320.595827,269.889841,0,423.6345248,0,0,62
151.186189,560.460653,0,583.7956897,0,0,62
-151.186189,560.460653,0,583.7956897,0,0,62
316.347185,223.672656,0,392.3633501,0,0,62
-316.347185,223.672656,0,392.3633501,0,0,62
128.349555,566.127016,0,583.795689,0,0,62
-128.349555,566.127016,0,583.795689,0,0,62
221.729627,440.687285,0,497.2055014,0,0,62
-221.729627,440.687285,0,497.2055014,0,0,62
252.536807,118.137934,0,285.6140934,0,0,62
-252.536807,118.137934,0,285.6140934,0,0,62
250.989852,474.632309,0,540.477321,0,0,62
-250.989852,474.632309,0,540.477321,0,0,62
231.549393,484.41368,0,540.4773212,0,0,62
-231.549393,484.41368,0,540.4773212,0,0,62
303.284575,241.088086,0,392.3633503,0,0,62
-303.284575,241.088086,0,392.3633503,0,0,62
304.417615,339.775436,0,460.3926924,0,0,62
-304.417615,339.775436,0,460.3926924,0,0,62
273.550854,410.535311,0,497.2055021,0,0,62
-273.550854,410.535311,0,497.2055021,0,0,62
150.311833,515.439703,0,540.477321,0,0,62
-150.311833,515.439703,0,540.477321,0,0,62
211.728517,493.399199,0,540.477321,0,0,62
-211.728517,493.399199,0,540.477321,0,0,62
103.79794,49.00425,0,130.4585331,0,0,62
-103.79794,49.00425,0,130.4585331,0,0,62
128.483457,476.299603,0,497.2055013,0,0,62
-128.483457,476.299603,0,497.2055013,0,0,62
304.930591,287.470947,0,423.6345249,0,0,62
-304.930591,287.470947,0,423.6345249,0,0,62
98.353395,21.341253,0,118.2067654,0,0,62
-98.353395,21.341253,0,118.2067654,0,0,62
191.559788,501.574105,0,540.4773216,0,0,62
-191.559788,501.574105,0,540.4773216,0,0,62
136.347797,37.337598,0,154.3658575,0,0,62
-136.347797,37.337598,0,154.3658575,0,0,62
171.076343,508.924965,0,540.4773216,0,0,62
-171.076343,508.924965,0,540.4773216,0,0,62
86.675033,529.867128,0,540.4773212,0,0,62
-86.675033,529.867128,0,540.4773212,0,0,62
284.852597,356.337522,0,460.3926928,0,0,62
-284.852597,356.337522,0,460.3926928,0,0,62
65.596493,94.194103,0,130.4585334,0,0,62
-65.596493,94.194103,0,130.4585334,0,0,62
65.131182,532.944335,0,540.4773215,0,0,62
-65.131182,532.944335,0,540.4773215,0,0,62
129.300373,521.107617,0,540.4773214,0,0,62
-129.300373,521.107617,0,540.4773214,0,0,62
284.627611,213.487668,0,361.1562838,0,0,62
-284.627611,213.487668,0,361.1562838,0,0,62
186.207651,71.786589,0,208.9751269,0,0,62
-186.207651,71.786589,0,208.9751269,0,0,62
108.076483,525.919394,0,540.4773216,0,0,62
-108.076483,525.919394,0,540.4773216,0,0,62
272.514754,183.995051,0,334.6079347,0,0,62
-272.514754,183.995051,0,334.6079347,0,0,62
288.302592,304.144416,0,423.6345245,0,0,62
-288.302592,304.144416,0,423.6345245,0,0,62
272.187143,229.137558,0,361.1562838,0,0,62
-272.187143,229.137558,0,361.1562838,0,0,62
264.388209,371.774537,0,460.3926926,0,0,62
-264.388209,371.774537,0,460.3926926,0,0,62
256.560793,158.995541,0,308.1347474,0,0,62
-256.560793,158.995541,0,308.1347474,0,0,62
43.480327,535.145958,0,540.4773216,0,0,62
-43.480327,535.145958,0,540.4773216,0,0,62
21.758037,536.46838,0,540.4773214,0,0,62
-21.758037,536.46838,0,540.4773214,0,0,62
0,536.909429,0,540.4773214,0,0,62
217.410638,134.733455,0,263.1814762,0,0,62
-217.410638,134.733455,0,263.1814762,0,0,62
203.688812,449.310782,0,497.2055017,0,0,62
-203.688812,449.310782,0,497.2055017,0,0,62
197.371292,88.765154,0,225.1192561,0,0,62
-197.371292,88.765154,0,225.1192561,0,0,62
289.264399,257.742325,0,392.3633503,0,0,62
-289.264399,257.742325,0,392.3633503,0,0,62
78.808223,17.100235,0,101.7209617,0,0,62
-78.808223,17.100235,0,101.7209617,0,0,62
270.764331,319.857606,0,423.6345253,0,0,62
-270.764331,319.857606,0,423.6345253,0,0,62
242.542371,137.49403,0,285.6140928,0,0,62
-242.542371,137.49403,0,285.6140928,0,0,62
147.679761,470.701603,0,497.2055017,0,0,62
-147.679761,470.701603,0,497.2055017,0,0,62
209.706535,108.459348,0,244.0988754,0,0,62
-209.706535,108.459348,0,244.0988754,0,0,62
221.02241,399.082104,0,460.3926927,0,0,62
-221.02241,399.082104,0,460.3926927,0,0,62
144.261728,53.345494,0,165.8348211,0,0,62
-144.261728,53.345494,0,165.8348211,0,0,62
252.371181,334.560903,0,423.6345251,0,0,62
-252.371181,334.560903,0,423.6345251,0,0,62
89.02034,344.478215,0,361.1562841,0,0,62
-89.02034,344.478215,0,361.1562841,0,0,62
198.257917,410.866438,0,460.3926927,0,0,62
-198.257917,410.866438,0,460.3926927,0,0,62
274.330924,273.58279,0,392.3633505,0,0,62
-274.330924,273.58279,0,392.3633505,0,0,62
243.089064,386.037742,0,460.3926925,0,0,62
-243.089064,386.037742,0,460.3926925,0,0,62
257.317568,204.709889,0,334.6079339,0,0,62
-257.317568,204.709889,0,334.6079339,0,0,62
9.997946,493.22343,0,497.2055016,0,0,62
-9.997946,493.22343,0,497.2055016,0,0,62
9.985057,182.445829,0,192.9512422,0,0,62
-9.985057,182.445829,0,192.9512422,0,0,62
231.067224,156.01073,0,285.6140926,0,0,62
-231.067224,156.01073,0,285.6140926,0,0,62
258.531299,288.559467,0,392.3633502,0,0,62
-258.531299,288.559467,0,392.3633502,0,0,62
174.867462,421.353536,0,460.3926928,0,0,62
-174.867462,421.353536,0,460.3926928,0,0,62
243.364133,178.541091,0,308.1347472,0,0,62
-243.364133,178.541091,0,308.1347472,0,0,62
233.181215,348.207886,0,423.6345252,0,0,62
-233.181215,348.207886,0,423.6345252,0,0,62
150.924895,430.510287,0,460.3926923,0,0,62
-150.924895,430.510287,0,460.3926923,0,0,62
69.755851,488.368132,0,497.2055019,0,0,62
-69.755851,488.368132,0,497.2055019,0,0,62
241.915409,302.625071,0,392.3633504,0,0,62
-241.915409,302.625071,0,392.3633504,0,0,62
213.255023,360.755466,0,423.6345254,0,0,62
-213.255023,360.755466,0,423.6345254,0,0,62
149.701185,207.388632,0,263.1814763,0,0,62
-149.701185,207.388632,0,263.1814763,0,0,62
51.166496,453.32044,0,460.3926929,0,0,62
-51.166496,453.32044,0,460.3926929,0,0,62
192.655517,372.164027,0,423.6345255,0,0,62
-192.655517,372.164027,0,423.6345255,0,0,62
240.549469,224.174982,0,334.6079341,0,0,62
-240.549469,224.174982,0,334.6079341,0,0,62
25.623699,455.478713,0,460.3926932,0,0,62
-25.623699,455.478713,0,460.3926932,0,0,62
0,456.198895,0,460.392693,0,0,62
133.608486,124.639297,0,192.9512423,0,0,62
-133.608486,124.639297,0,192.9512423,0,0,62
177.261369,91.678844,0,208.9751262,0,0,62
-177.261369,91.678844,0,208.9751262,0,0,62
152.158878,71.836028,0,179.3230021,0,0,62
-152.158878,71.836028,0,179.3230021,0,0,62
186.505449,109.774301,0,225.1192565,0,0,62
-186.505449,109.774301,0,225.1192565,0,0,62
228.681745,196.996655,0,308.1347474,0,0,62
-228.681745,196.996655,0,308.1347474,0,0,62
229.880003,271.56039,0,361.1562836,0,0,62
-229.880003,271.56039,0,361.1562836,0,0,62
126.50581,438.307782,0,460.392693,0,0,62
-126.50581,438.307782,0,460.392693,0,0,62
149.69864,391.423719,0,423.6345248,0,0,62
-149.69864,391.423719,0,423.6345248,0,0,62
120.923706,44.715497,0,143.0594923,0,0,62
-120.923706,44.715497,0,143.0594923,0,0,62
196.617772,130.697026,0,244.0988752,0,0,62
187.70665,338.926559,0,392.3633505,0,0,62
-187.70665,338.926559,0,392.3633505,0,0,62
-196.617772,130.697026,0,244.0988752,0,0,62
101.687307,444.721399,0,460.3926923,0,0,62
-101.687307,444.721399,0,460.3926923,0,0,62
181.05437,306.282838,0,361.1562844,0,0,62
-181.05437,306.282838,0,361.1562844,0,0,62
224.535716,315.735191,0,392.3633502,0,0,62
-224.535716,315.735191,0,392.3633502,0,0,62
49.822559,352.289049,0,361.1562839,0,0,62
-49.822559,352.289049,0,361.1562839,0,0,62
127.476899,399.214042,0,423.6345254,0,0,62
-127.476899,399.214042,0,423.6345254,0,0,62
9.962265,114.351136,0,130.4585338,0,0,62
-9.962265,114.351136,0,130.4585338,0,0,62
76.547744,449.730891,0,460.3926926,0,0,62
-76.547744,449.730891,0,460.3926926,0,0,62
206.227736,151.296432,0,263.1814762,0,0,62
-206.227736,151.296432,0,263.1814762,0,0,62
218.181421,173.574991,0,285.6140927,0,0,62
-218.181421,173.574991,0,285.6140927,0,0,62
222.312825,242.271496,0,334.6079347,0,0,62
-222.312825,242.271496,0,334.6079347,0,0,62
104.852673,405.743919,0,423.6345251,0,0,62
-104.852673,405.743919,0,423.6345251,0,0,62
81.897393,410.992734,0,423.6345245,0,0,62
-81.897393,410.992734,0,423.6345245,0,0,62
206.447092,327.848436,0,392.3633505,0,0,62
-206.447092,327.848436,0,392.3633505,0,0,62
58.683538,414.943916,0,423.6345253,0,0,62
-58.683538,414.943916,0,423.6345253,0,0,62
171.447736,382.397548,0,423.6345251,0,0,62
-171.447736,382.397548,0,423.6345251,0,0,62
-35.2844,417.584988,0,423.6345254,0,0,62
35.2844,417.584988,0,423.6345254,0,0,62
212.603264,214.249561,0,308.1347469,0,0,62
-212.603264,214.249561,0,308.1347469,0,0,62
11.773858,418.907612,0,423.6345254,0,0,62
-11.773858,418.907612,0,423.6345254,0,0,62
